Sample File	C:\TSI\Aerosol Instrument Manager\Sodium Chloride_low flow.S80
Classifier Model	3080
DMA Model	3081
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01961
DMA Characteristic Length(cm)	0.44369
CPC Model	3776 Low Flow
Reference Gas Viscosity (Pa*s)	1.8203e-005
Reference Mean Free Path (m)	6.65e-008
Reference Gas Temperature (K)	293.15
Reference Gas Pressure (kPa)	101.3
Channels/Decade	64
Multiple Charge Correction	FALSE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	FALSE
Units	dw/dlogDp
Weight	Number
Sample #	1
Date	08/11/05
Start Time	15:04:41
Diameter Midpoint
67.2	78.804551	4554	
67.3	79.053515	4702	
67.4	79.303360	4705	
67.5	79.554092	4724	
67.6	79.805714	4731	
67.7	80.057610	4791	
67.8	80.311049	4982	
67.9	80.565388	4950	
68.0	80.820631	4873	
68.1	81.076782	4950	
68.2	81.333845	4871	
68.3	81.592436	5052	
68.4	81.851309	5248	
68.5	82.111106	5157	
68.6	82.371831	5335	
68.7	82.633490	5288	
68.8	82.895447	5198	
68.9	83.159009	5315	
69.0	83.423515	5473	
69.1	83.688969	5359	
69.2	83.955375	5472	
69.3	84.222736	5427	
69.4	84.491695	5718	
69.5	84.760954	5548	
69.6	85.031182	5515	
69.7	85.302384	5745	
69.8	85.574564	5725	
69.9	85.847727	5728	
70.0	86.121236	5734	
70.1	86.396403	5995	
70.2	86.672563	6176	
70.3	86.949723	6054	
70.4	87.227885	5988	
70.5	87.507054	6117	
70.6	87.787881	6021	
70.7	88.069050	6222	
70.8	88.351242	6150	
70.9	88.634459	6354	
71.0	88.918706	6259	
71.1	89.203989	6396	
71.2	89.489656	6243	
71.3	89.777051	6306	
71.4	90.065493	6507	
71.5	90.354988	6463	
71.6	90.645541	6409	
71.7	90.937155	6558	
71.8	91.230506	6656	
71.9	91.524229	6715	
72.0	91.819030	6824	
72.1	92.114912	6738	
72.2	92.411882	6804	
72.3	92.709943	6792	
72.4	93.008412	6815	
72.5	93.308701	6778	
72.6	93.610095	6879	
72.7	93.912599	6886	
72.8	94.216218	6995	
72.9	94.520957	7038	
73.0	94.826822	7124	
73.1	95.134498	7008	
73.2	95.442599	7050	
73.3	95.751843	7247	
73.4	96.062233	7315	
73.5	96.373775	7194	
73.6	96.686474	7336	
73.7	96.999627	7286	
73.8	97.314687	7427	
73.9	97.630919	7355	
74.0	97.948328	7403	
74.1	98.266919	7526	
74.2	98.586699	7496	
74.3	98.907672	7370	
74.4	99.230555	7431	
74.5	99.553901	7508	
74.6	99.878458	7605	
74.7	100.204232	7588	
74.8	100.531228	7588	
74.9	100.859452	7710	
75.0	101.188910	7706	
75.1	101.518888	7684	
75.2	101.850860	7866	
75.3	102.184082	7643	
75.4	102.518559	7854	
75.5	102.854296	7690	
75.6	103.191301	7877	
75.7	103.529578	7771	
75.8	103.869865	7884	
75.9	104.210674	7913	
76.0	104.552774	7976	
76.1	104.896173	7972	
76.2	105.240875	7972	
76.3	105.586887	7883	
76.4	105.934215	8016	
76.5	106.282115	8011	
76.6	106.632126	7970	
76.7	106.983470	7954	
76.8	107.336154	8046	
76.9	107.690183	7963	
77.0	108.045564	8018	
77.1	108.402304	8096	
77.2	108.760409	8192	
77.3	109.120628	8271	
77.4	109.481449	8099	
77.5	109.843657	8044	
77.6	110.207257	8083	
77.7	110.572255	8184	
77.8	110.938659	8164	
77.9	111.306475	8242	
78.0	111.674934	8260	
78.1	112.045628	8276	
78.2	112.417752	8146	
78.3	112.791314	8402	
78.4	113.166321	8335	
78.5	113.542779	8389	
78.6	113.920696	8236	
78.7	114.300078	8489	
78.8	114.681715	8337	
78.9	115.064015	8465	
79.0	115.447803	8385	
79.1	115.833087	8472	
79.2	116.219873	8487	
79.3	116.608169	8530	
79.4	116.997981	8389	
79.5	117.389318	8458	
79.6	117.781389	8492	
79.7	118.175831	8450	
79.8	118.571817	8386	
79.9	118.969356	8395	
80.0	119.368455	8491	
80.1	119.769121	8538	
80.2	120.171363	8347	
80.3	120.575187	8501	
80.4	120.980602	8447	
80.5	121.388400	8509	
80.6	121.796986	8545	
80.7	122.207187	8333	
80.8	122.619012	8560	
80.9	123.032468	8471	
81.0	123.447563	8543	
81.1	123.864306	8642	
81.2	124.282704	8604	
81.3	124.701948	8524	
81.4	125.123717	8574	
81.5	125.547164	8571	
81.6	125.972298	8709	
81.7	126.399127	8748	
81.8	126.827660	8504	
81.9	127.257905	8735	
82.0	127.689870	8660	
82.1	128.123565	8567	
82.2	128.559821	8668	
82.3	128.996963	8613	
82.4	129.435862	8668	
82.5	129.876526	8735	
82.6	130.318965	8661	
82.7	130.763186	8732	
82.8	131.209199	8668	
82.9	131.657012	8717	
83.0	132.106636	8763	
83.1	132.557236	8480	
83.2	133.010543	8613	
83.3	133.465685	8696	
83.4	133.922671	8725	
83.5	134.381512	8613	
83.6	134.842217	8735	
83.7	135.304794	8689	
83.8	135.769253	8672	
83.9	136.235605	8799	
84.0	136.704730	8755	
84.1	137.174856	8555	
84.2	137.646904	8637	
84.3	138.120885	8652	
84.4	138.596807	8620	
84.5	139.074681	8734	
84.6	139.554517	8757	
84.7	140.036324	8635	
84.8	140.520113	8646	
84.9	141.005894	8748	
85.0	141.492799	8730	
85.1	141.982632	8684	
85.2	142.474486	8803	
85.3	142.968371	8651	
85.4	143.464298	8663	
85.5	143.962277	8709	
85.6	144.462319	8759	
85.7	144.964434	8660	
85.8	145.468634	8647	
85.9	145.974928	8635	
86.0	146.484225	8576	
86.1	146.994702	8575	
86.2	147.507309	8583	
86.3	148.022055	8750	
86.4	148.538953	8717	
86.5	149.058013	8687	
86.6	149.579247	8649	
86.7	150.102666	8542	
86.8	150.628281	8602	
86.9	151.156103	8573	
87.0	151.686144	8618	
87.1	152.217523	8396	
87.2	152.752077	8486	
87.3	153.288883	8644	
87.4	153.827953	8592	
87.5	154.369298	8734	
87.6	154.912932	8553	
87.7	155.458866	8591	
87.8	156.007112	8556	
87.9	156.557682	8569	
88.0	157.110589	8696	
88.1	157.665845	8487	
88.2	158.224368	8631	
88.3	158.784319	8572	
88.4	159.346657	8518	
88.5	159.911397	8675	
88.6	160.478549	8646	
88.7	161.048128	8373	
88.8	161.620145	8375	
88.9	162.194614	8450	
89.0	162.771547	8319	
89.1	163.350958	8546	
89.2	163.932860	8243	
89.3	164.516328	8459	
89.4	165.103292	8443	
89.5	165.692786	8430	
89.6	166.284823	8366	
89.7	166.879415	8314	
89.8	167.476578	8402	
89.9	168.076325	8422	
